Key,File,Type,UsedInMainMenu,NoTranslate,english,japanese
foodOnigiriUme_desc,items,Item,,,"Rice ball with pickled plum. Portable and resistant to spoilage.","梅干し入りのおにぎり。携帯性◎、腐りにくい。"
foodOnigiriSake,items,Item,,,Onigiri (Salmon),おにぎり（鮭）
foodOnigiriSake_desc,items,Item,,,"Rice ball with grilled salmon. A classic filling meal.","焼き鮭入りのおにぎり。定番のしっかりした食事。"
foodOnigiriKonbu,items,Item,,,Onigiri (Kelp),おにぎり（昆布）
foodOnigiriKonbu_desc,items,Item,,,"Rice ball with simmered kelp. Mildly hydrating.","昆布の佃煮入りおにぎり。ほんのり水分補給。"
foodMochi,items,Item,,,Mochi,餅
foodMochi_desc,items,Item,,,"Pounded rice cake. Chewy and energy-packed.","つきたての餅。もちもちでエネルギー満点。"
foodMisoSoup,items,Item,,,Miso Soup,味噌汁
foodMisoSoup_desc,items,Item,,,"Warm miso soup with tofu and green onion. Warms the soul.","豆腐とねぎの温かい味噌汁。心まで温まる。"
foodTonjiru,items,Item,,,Tonjiru (Pork Miso Soup),豚汁
foodTonjiru_desc,items,Item,,,"Hearty miso soup with pork and vegetables. Keeps you warm.","豚肉と野菜のボリューム味噌汁。体が温まる。"
foodSumashijiru,items,Item,,,Clear Soup,すまし汁
foodSumashijiru_desc,items,Item,,,"Light clear soup with dashi and tofu. Refreshing.","だしと豆腐の澄んだお吸い物。さっぱり。"
foodKenchinjiru,items,Item,,,Kenchin Soup,けんちん汁
foodKenchinjiru_desc,items,Item,,,"Vegetable soup with daikon and shiitake. Filling and warm.","大根としいたけの野菜汁。満足感があり温まる。"
foodGrilledSalmon,items,Item,,,Grilled Salmon,焼き鮭
foodGrilledSalmon_desc,items,Item,,,"Salt-grilled salmon fillet. Simple but satisfying.","塩焼きの鮭。シンプルだが満足感あり。"
foodYakitori,items,Item,,,Yakitori,焼き鳥
foodYakitori_desc,items,Item,,,"Grilled chicken skewers. Boosts fighting spirit.","鶏肉の串焼き。闘志が湧いてくる。"
foodGrilledSanma,items,Item,,,Grilled Sanma,秋刀魚の塩焼き
foodGrilledSanma_desc,items,Item,,,"Salt-grilled Pacific saury. A taste of autumn.","秋刀魚の塩焼き。秋の味覚。"
foodTeriyaki,items,Item,,,Teriyaki Chicken,照り焼きチキン
foodTeriyaki_desc,items,Item,,,"Glossy teriyaki glazed chicken. Sweet and savory.","艶やかな照り焼きチキン。甘辛くて美味。"
foodNikujaga,items,Item,,,Nikujaga (Meat & Potatoes),肉じゃが
foodNikujaga_desc,items,Item,,,"Simmered meat and potatoes in sweet soy broth. Comforting.","甘い醤油だしで煮込んだ肉じゃが。ほっとする味。"
foodOden,items,Item,,,Oden,おでん
foodOden_desc,items,Item,,,"Assorted ingredients simmered in dashi broth. Warms you up.","だしで煮込んだおでん。体の芯から温まる。"
foodChikuzenni,items,Item,,,Chikuzenni (Simmered Chicken),筑前煮
foodChikuzenni_desc,items,Item,,,"Braised chicken and root vegetables. Rich umami flavor.","鶏肉と根菜の煮物。旨味たっぷり。"
foodNikabocha,items,Item,,,Simmered Kabocha,かぼちゃの煮物
foodNikabocha_desc,items,Item,,,"Sweet simmered pumpkin. Gentle and nourishing.","甘く煮たかぼちゃ。優しくて滋養豊か。"
foodTempura,items,Item,,,Tempura Platter,天ぷら盛り合わせ
foodTempura_desc,items,Item,,,"Crispy deep-fried vegetables and fish. A stamina feast.","サクサクの野菜と魚の天ぷら。スタミナの御馳走。"
foodKaraage,items,Item,,,Karaage (Fried Chicken),唐揚げ
foodKaraage_desc,items,Item,,,"Japanese-style fried chicken. Juicy and energizing.","和風フライドチキン。ジューシーで元気が出る。"
foodTonkatsu,items,Item,,,Tonkatsu (Pork Cutlet),トンカツ
foodTonkatsu_desc,items,Item,,,"Deep-fried breaded pork cutlet. Pure energy.","衣をつけて揚げた豚カツ。パワー全開。"
foodCroquette,items,Item,,,Croquette,コロッケ
foodCroquette_desc,items,Item,,,"Crispy potato and meat croquette. Comfort food.","サクサクのポテトと肉のコロッケ。懐かしの味。"
foodKatsudon,items,Item,,,Katsudon,カツ丼
foodKatsudon_desc,items,Item,,,"Pork cutlet bowl with egg. The champion's meal.","卵でとじたカツ丼。勝負飯。"
foodOyakodon,items,Item,,,Oyakodon,親子丼
foodOyakodon_desc,items,Item,,,"Chicken and egg rice bowl. Wholesome and healing.","鶏肉と卵の丼。体に優しく癒される。"
foodGyudon,items,Item,,,Gyudon (Beef Bowl),牛丼
foodGyudon_desc,items,Item,,,"Simmered beef over rice. Quick and powerful.","牛肉をご飯にのせた丼。手早くパワフル。"
foodTendon,items,Item,,,Tendon (Tempura Bowl),天丼
foodTendon_desc,items,Item,,,"Tempura over rice with sweet sauce. Light on your feet.","甘だれの天ぷら丼。身軽になれる。"
foodKaisendon,items,Item,,,Kaisen-don (Seafood Bowl),海鮮丼
foodKaisendon_desc,items,Item,,,"Fresh sashimi over rice. Sharpens the mind.","新鮮な刺身の丼。頭が冴える。"
foodUdon,items,Item,,,Udon Noodles,うどん
foodUdon_desc,items,Item,,,"Thick wheat noodles in hot broth. Warming and filling.","温かいだしの太い麺。体が温まりお腹も満足。"
foodSoba,items,Item,,,Soba Noodles,そば
foodSoba_desc,items,Item,,,"Buckwheat noodles in dashi broth. Light and swift.","だしのそば。軽やかで素早くなれる。"
foodRamen,items,Item,,,Ramen,ラーメン
foodRamen_desc,items,Item,,,"Rich pork broth ramen with egg. The ultimate comfort.","濃厚豚骨ラーメン。究極の一杯。"
foodSomen,items,Item,,,Somen Noodles,そうめん
foodSomen_desc,items,Item,,,"Cold thin noodles. Refreshing in the heat.","冷たい細麺。暑さを吹き飛ばす。"
foodUmeboshi,items,Item,,,Pickled Plum,梅干し
foodUmeboshi_desc,items,Item,,,"Sour pickled plum. Prevents illness and never spoils.","酸っぱい梅干し。病気予防に。腐らない。"
foodTakuan,items,Item,,,Takuan (Pickled Daikon),たくあん
foodTakuan_desc,items,Item,,,"Yellow pickled radish. Crunchy and preserved.","黄色い漬物大根。パリパリで保存が効く。"
foodHakusaiTsukemono,items,Item,,,Pickled Napa Cabbage,白菜の漬物
foodHakusaiTsukemono_desc,items,Item,,,"Spicy pickled cabbage. Gives a slight edge in combat.","ピリ辛の白菜漬け。戦闘意欲がほんの少し上がる。"
foodHimono,items,Item,,,Dried Fish,干物
foodHimono_desc,items,Item,,,"Sun-dried salted fish. Preserved and nutritious.","天日干しの塩魚。保存が効き栄養豊富。"
foodTsukudani,items,Item,,,Tsukudani (Simmered Preserves),佃煮
foodTsukudani_desc,items,Item,,,"Fish simmered in soy and sugar. Stacks high, never spoils.","醤油と砂糖で煮た佃煮。大量に持てて腐らない。"
drinkGreenTea,items,Item,,,Green Tea,緑茶
drinkGreenTea_desc,items,Item,,,"Freshly brewed green tea. Calms the mind and sharpens focus.","淹れたての緑茶。心が落ち着き集中力が上がる。"
drinkMugicha,items,Item,,,Barley Tea,麦茶
drinkMugicha_desc,items,Item,,,"Roasted barley tea. Refreshing and cools you down.","香ばしい麦茶。さっぱりして涼しくなる。"
drinkAmazake,items,Item,,,Amazake (Sweet Rice Drink),甘酒
drinkAmazake_desc,items,Item,,,"Sweet fermented rice drink. Nourishing and warming.","甘い米の発酵飲料。滋養があり体が温まる。"
drinkNihonshu,items,Item,,,Nihonshu (Sake),日本酒
drinkNihonshu_desc,items,Item,,,"Japanese rice wine. Emboldens the drinker but dulls defense.","日本酒。飲めば攻撃的になるが防御は甘くなる。"
drinkShochu,items,Item,,,Shochu,焼酎
drinkShochu_desc,items,Item,,,"Strong distilled spirit. Great power at the cost of awareness.","強い蒸留酒。大きな力を得るが注意力が落ちる。"
foodDaifuku,items,Item,,,Daifuku,大福
foodDaifuku_desc,items,Item,,,"Mochi stuffed with sweet bean paste. A rare treat.","あんこ入りの餅。貴重なご褒美。"
foodMitarashiDango,items,Item,,,Mitarashi Dango,みたらし団子
foodMitarashiDango_desc,items,Item,,,"Sweet soy-glazed rice dumplings on a stick.","甘辛い醤油だれの団子。"
foodYokan,items,Item,,,Yokan (Sweet Bean Jelly),ようかん
foodYokan_desc,items,Item,,,"Firm jelly made from bean paste. Never spoils.","あんこの羊羹。腐らない。"
foodSenbei,items,Item,,,Senbei (Rice Cracker),せんべい
foodSenbei_desc,items,Item,,,"Crunchy soy-flavored rice cracker. Easy to carry.","サクサクの醤油せんべい。持ち運びに便利。"
wafuuKamado,blocks,Block,,,Kamado (Japanese Stove),かまど
wafuuKamado_desc,blocks,Block,,,"Traditional Japanese clay stove. Cook rice, soups, and stews.","伝統的な土のかまど。ご飯・汁物・煮物を調理。"
wafuuIrori,blocks,Block,,,Irori (Sunken Hearth),囲炉裏
wafuuIrori_desc,blocks,Block,,,"Sunken floor hearth for grilling and hot pot cooking.","床に埋め込んだ炉。焼き物や鍋物を調理。"
wafuuKitchen,blocks,Block,,,Wafuu Kitchen Set,厨房セット
wafuuKitchen_desc,blocks,Block,,,"Full Japanese kitchen setup. Required for advanced recipes.","本格的な和風厨房。上位レシピの調理に必要。"
buffWafuuColdResist30,buffs,Buff,,,Cold Resistance,寒冷耐性
buffWafuuColdResist30_desc,buffs,Buff,,,"Warming food protects against cold for 30 seconds.","温かい食事が寒さから守る（30秒）"
buffWafuuColdResist60,buffs,Buff,,,Cold Resistance,寒冷耐性
buffWafuuColdResist60_desc,buffs,Buff,,,"Warming food protects against cold for 60 seconds.","温かい食事が寒さから守る（60秒）"
buffWafuuHeatResist60,buffs,Buff,,,Heat Resistance,暑熱耐性
buffWafuuHeatResist60_desc,buffs,Buff,,,"Cool refreshment protects against heat for 60 seconds.","涼やかな食事が暑さから守る（60秒）"
buffWafuuHeatResist120,buffs,Buff,,,Heat Resistance,暑熱耐性
buffWafuuHeatResist120_desc,buffs,Buff,,,"Cool refreshment protects against heat for 120 seconds.","涼やかな飲み物が暑さから守る（120秒）"
buffWafuuAttackUp3_30,buffs,Buff,,,Fighting Spirit (Minor),闘気（小）
buffWafuuAttackUp3_30_desc,buffs,Buff,,,"Slightly boosts attack power for 30 seconds. +3% damage.","攻撃力がわずかに上昇（30秒）。ダメージ+3%"
buffWafuuAttackUp5_30,buffs,Buff,,,Fighting Spirit,闘気
buffWafuuAttackUp5_30_desc,buffs,Buff,,,"Boosts attack power for 30 seconds. +5% damage.","攻撃力が上昇（30秒）。ダメージ+5%"
buffWafuuAttackUp5_60,buffs,Buff,,,Fighting Spirit,闘気
buffWafuuAttackUp5_60_desc,buffs,Buff,,,"Boosts attack power for 60 seconds. +5% damage.","攻撃力が上昇（60秒）。ダメージ+5%"
buffWafuuAttackUp10_120,buffs,Buff,,,Warrior's Resolve,武士の覚悟
buffWafuuAttackUp10_120_desc,buffs,Buff,,,"Greatly boosts attack power for 120 seconds. +10% damage.","攻撃力が大きく上昇（120秒）。ダメージ+10%"
buffWafuuHoT45,buffs,Buff,,,Nourishment,滋養
buffWafuuHoT45_desc,buffs,Buff,,,"Slowly restores health for 45 seconds. +1 HP/s.","HPがゆっくり回復（45秒）。毎秒+1 HP"
buffWafuuHoT60,buffs,Buff,,,Nourishment,滋養
buffWafuuHoT60_desc,buffs,Buff,,,"Slowly restores health for 60 seconds. +1 HP/s.","HPがゆっくり回復（60秒）。毎秒+1 HP"
buffWafuuHoT90,buffs,Buff,,,Deep Nourishment,深い滋養
buffWafuuHoT90_desc,buffs,Buff,,,"Slowly restores health for 90 seconds. +1 HP/s.","HPがゆっくり回復（90秒）。毎秒+1 HP"
buffWafuuHoT2_60,buffs,Buff,,,Healing Feast,癒しの御馳走
buffWafuuHoT2_60_desc,buffs,Buff,,,"Restores health for 60 seconds. +2 HP/s.","HPが回復（60秒）。毎秒+2 HP"
buffWafuuSpeedUp5_30,buffs,Buff,,,Swift Feet,韋駄天
buffWafuuSpeedUp5_30_desc,buffs,Buff,,,"Increases movement speed for 30 seconds. +5% speed.","移動速度が上昇（30秒）。速度+5%"
buffWafuuSpeedUp5_45,buffs,Buff,,,Swift Feet,韋駄天
buffWafuuSpeedUp5_45_desc,buffs,Buff,,,"Increases movement speed for 45 seconds. +5% speed.","移動速度が上昇（45秒）。速度+5%"
buffWafuuSpeedUp10_90,buffs,Buff,,,Wind Runner,疾風
buffWafuuSpeedUp10_90_desc,buffs,Buff,,,"Greatly increases movement speed for 90 seconds. +10% speed.","移動速度が大きく上昇（90秒）。速度+10%"
buffWafuuCraftSpeed60,buffs,Buff,,,Focus,集中
buffWafuuCraftSpeed60_desc,buffs,Buff,,,"Sharpens focus and speeds up crafting for 60 seconds. -10% craft time.","集中力が増しクラフトが速くなる（60秒）。製作時間-10%"
buffWafuuCraftSpeed90,buffs,Buff,,,Deep Focus,深い集中
buffWafuuCraftSpeed90_desc,buffs,Buff,,,"Sharpens focus and speeds up crafting for 90 seconds. -10% craft time.","集中力が増しクラフトが速くなる（90秒）。製作時間-10%"
buffWafuuDiseaseResist30,buffs,Buff,,,Immune Boost,免疫強化
buffWafuuDiseaseResist30_desc,buffs,Buff,,,"Boosts disease resistance for 30 seconds.","病気への耐性が上昇（30秒）"
buffWafuuDiseaseResist180,buffs,Buff,,,Immune Boost,免疫強化
buffWafuuDiseaseResist180_desc,buffs,Buff,,,"Boosts disease resistance for 180 seconds.","病気への耐性が上昇（180秒）"
buffWafuuDrunkLight,buffs,Buff,,,Tipsy,ほろ酔い
buffWafuuDrunkLight_desc,buffs,Buff,,,"Sake emboldens you. +10% attack, -5% defense for 120 seconds.","日本酒で気が大きくなる。攻撃+10%、防御-5%（120秒）"
buffWafuuDrunkHeavy,buffs,Buff,,,Drunk,泥酔
buffWafuuDrunkHeavy_desc,buffs,Buff,,,"Strong spirits give great power but dull your senses. +15% attack, -10% defense for 120 seconds.","強い酒で力が漲るが感覚が鈍る。攻撃+15%、防御-10%（120秒）"
perkWafuuCooking,progression,Perk,,,Wafuu Cooking Master,和食の匠
perkWafuuCooking_desc,progression,Perk,,,"Master the art of Japanese cuisine. Unlock advanced cooking stations and boost the effects of wafuu dishes.","和食の奥義を極める。上位の調理設備を解放し、和食の効果を高める。"
perkWafuuCookingLvl1_desc,progression,Perk,,,"Unlock Irori (sunken hearth) crafting. Slightly faster cooking at all wafuu stations.","囲炉裏のクラフトを解放。和風ステーションでの調理速度がわずかに上昇。"
perkWafuuCookingLvl2_desc,progression,Perk,,,"Wafuu dishes restore 10% more health.","和食の HP 回復効果が 10% 向上。"
perkWafuuCookingLvl3_desc,progression,Perk,,,"Unlock Wafuu Kitchen crafting. Faster cooking at all wafuu stations.","厨房セットのクラフトを解放。和風ステーションでの調理速度が上昇。"
perkWafuuCookingLvl4_desc,progression,Perk,,,"Wafuu dishes restore 20% more health.","和食の HP 回復効果が 20% 向上。"
perkWafuuCookingLvl5_desc,progression,Perk,,,"A true master of wafuu cuisine. 30% health boost from all wafuu dishes. 15% faster cooking.","真の和食の匠。全ての和食の HP 回復が 30% 向上。調理速度 15% 上昇。"
wafuuKamadoTip,journal,JournalTip,,,"Place a Kamado to cook rice, soups, stews, and prepare basic Japanese ingredients.","かまどを設置して、白飯・汁物・煮物・基本素材を調理しよう。"
wafuuIroriTip,journal,JournalTip,,,"Place an Irori to grill fish, skewers, and make dried preserves over an open flame.","囲炉裏を設置して、焼き魚・串焼き・干物を作ろう。"
wafuuKitchenTip,journal,JournalTip,,,"Place a Wafuu Kitchen to prepare advanced dishes: tempura, donburi, ramen, and more.","厨房セットを設置して、天ぷら・丼もの・ラーメンなどの上位料理を作ろう。"
meleeWpnWafuuBokuto,items,Item,,,Bokuto (Wooden Sword),木刀
meleeWpnWafuuBokuto_desc,items,Item,,,"A wooden training sword. Light and fast but lacks killing power. Good for beginners.","木製の練習刀。軽くて速いが殺傷力は低い。初心者向け。"
meleeWpnWafuuTakeyari,items,Item,,,Takeyari (Bamboo Spear),竹槍
meleeWpnWafuuTakeyari_desc,items,Item,,,"A sharpened bamboo spear. Long reach keeps enemies at bay.","先を削った竹の槍。長いリーチで敵を寄せ付けない。"
meleeWpnWafuuKatana,items,Item,,,Katana (Uchigatana),打刀
meleeWpnWafuuKatana_desc,items,Item,,,"A curved single-edged sword. Fast slashing attacks that can cause bleeding.","反りのある片刃の刀。素早い斬撃で出血を与える。"
meleeWpnWafuuNaginata,items,Item,,,Naginata,薙刀
meleeWpnWafuuNaginata_desc,items,Item,,,"A polearm with a curved blade. Wide sweeps knock back groups of enemies.","反った刃の長柄武器。広い薙ぎ払いで敵集団を押し返す。"
meleeWpnWafuuTachi,items,Item,,,Tachi (Great Sword),太刀
meleeWpnWafuuTachi_desc,items,Item,,,"A large battlefield sword worn edge-down. Devastating power with deep cuts.","刃を下にして佩く大型の刀。壊滅的な威力と深い斬り傷。"
meleeWpnWafuuJumonjiYari,items,Item,,,Jumonji-yari (Cross Spear),十文字槍
meleeWpnWafuuJumonjiYari_desc,items,Item,,,"A cross-bladed spear with maximum reach. Penetrates armor with ease.","十字の刃を持つ槍。最長のリーチで鎧を容易く貫く。"
meleeWpnWafuuKanabo,items,Item,,,Kanabo (Iron Club),金棒
meleeWpnWafuuKanabo_desc,items,Item,,,"A massive studded iron club. Shatters bones and walls alike. Slow but devastating.","鉄鋲の巨大棍棒。骨も壁も粉砕する。遅いが壊滅的。"
meleeWpnWafuuKusarigama,items,Item,,,Kusarigama (Chain Sickle),鎖鎌
meleeWpnWafuuKusarigama_desc,items,Item,,,"A sickle linked to a weighted chain. Fast attacks with bleeding and extended range.","分銅付き鎖と鎌。素早い攻撃と出血効果、広い間合い。"
meleeWpnWafuuDemonBlade,items,Item,,,Youto (Demon Blade),妖刀
meleeWpnWafuuDemonBlade_desc,items,Item,,,"A cursed blade that drinks the blood of its victims. The ultimate katana — drains life on hit.","犠牲者の血を啜る妖しい刀。最強の刀剣。ヒット時にHPを吸収。"
gunBowWafuuWakyuu,items,Item,,,Wakyuu (Japanese Longbow),和弓
gunBowWafuuWakyuu_desc,items,Item,,,"A tall asymmetric longbow. Powerful shots with long range but slow draw speed.","背丈ほどもある非対称の長弓。長射程で強力だが引きが遅い。"
gunBowWafuuHankyuu,items,Item,,,Hankyuu (Short Bow),半弓
gunBowWafuuHankyuu_desc,items,Item,,,"A compact short bow for rapid shooting. Less power but faster follow-up shots.","コンパクトな短弓。威力は控えめだが連射が速い。"
gunRifleWafuuTanegashima,items,Item,,,Tanegashima (Matchlock),火縄銃
gunRifleWafuuTanegashima_desc,items,Item,,,"An ancient matchlock firearm. Devastating single shot but painfully slow reload.","古式の火縄銃。壊滅的な一発だがリロードが極めて遅い。"
ammoArrowWafuuTake,items,Item,,,Bamboo Arrow,竹矢
ammoArrowWafuuTake_desc,items,Item,,,"A simple arrow with a bamboo shaft. Basic but reliable.","竹製の素朴な矢。基本だが確実。"
ammoArrowWafuuHi,items,Item,,,Fire Arrow,火矢
ammoArrowWafuuHi_desc,items,Item,,,"An arrow wrapped in oil-soaked cloth. Sets targets ablaze.","油を染み込ませた布を巻いた矢。標的を炎上させる。"
ammoArrowWafuuDoku,items,Item,,,Poison Arrow,毒矢
ammoArrowWafuuDoku_desc,items,Item,,,"An arrow tipped with poison. Sickens the target on hit.","毒を塗った矢。命中すると標的を病に冒す。"
ammoArrowWafuuHakou,items,Item,,,Armor-Piercing Arrow,破甲矢
ammoArrowWafuuHakou_desc,items,Item,,,"A steel-tipped arrow designed to penetrate armor.","鋼の鏃を持つ矢。鎧を貫通するよう設計されている。"
armorWafuuAshigaruHelmet,items,Item,,,Ashigaru Jingasa (Helmet),足軽笠
armorWafuuAshigaruHelmet_desc,items,Item,,,"A simple iron hat worn by foot soldiers. Light and practical.","足軽が被る簡素な鉄笠。軽量で実用的。"
armorWafuuAshigaruChest,items,Item,,,Ashigaru Do (Chest Armor),足軽胴
armorWafuuAshigaruChest_desc,items,Item,,,"Basic chest protection for foot soldiers. Allows free movement.","足軽用の基本的な胴鎧。自由な動きを妨げない。"
armorWafuuAshigaruGloves,items,Item,,,Ashigaru Kote (Gauntlets),足軽篭手
armorWafuuAshigaruGloves_desc,items,Item,,,"Simple arm guards for foot soldiers.","足軽用の簡素な腕当て。"
armorWafuuAshigaruLegs,items,Item,,,Ashigaru Suneate (Greaves),足軽脛当
armorWafuuAshigaruLegs_desc,items,Item,,,"Leg guards for foot soldiers. Designed for marching.","足軽用の脛当て。行軍向けに設計。"
armorWafuuSamuraiHelmet,items,Item,,,Samurai Kabuto (Helmet),侍兜
armorWafuuSamuraiHelmet_desc,items,Item,,,"An ornate samurai helmet with face guard. Symbol of the warrior class.","面頬付きの精巧な侍の兜。武士の象徴。"
armorWafuuSamuraiChest,items,Item,,,Samurai Do (Chest Armor),侍胴
armorWafuuSamuraiChest_desc,items,Item,,,"Lacquered samurai chest armor. Strong protection against blades.","漆塗りの侍の胴鎧。刃物に対する強力な防護。"
armorWafuuSamuraiGloves,items,Item,,,Samurai Kote (Gauntlets),侍篭手
armorWafuuSamuraiGloves_desc,items,Item,,,"Chain-mail lined gauntlets. Protects while allowing sword grip.","鎖帷子入りの篭手。刀を握りつつ防護する。"
armorWafuuSamuraiLegs,items,Item,,,Samurai Suneate (Greaves),侍脛当
armorWafuuSamuraiLegs_desc,items,Item,,,"Iron-plated shin guards for the warrior class.","鉄板入りの武士の脛当て。"
armorWafuuShinobiHelmet,items,Item,,,Shinobi Zukin (Hood),忍頭巾
armorWafuuShinobiHelmet_desc,items,Item,,,"A dark hood that conceals the face. Reduces noise.","顔を隠す暗色の頭巾。物音を軽減する。"
armorWafuuShinobiChest,items,Item,,,Shinobi Shozoku (Outfit),忍装束
armorWafuuShinobiChest_desc,items,Item,,,"Dark fitted clothing for stealth operations. Light but quiet.","隠密行動用の暗色の衣服。軽いが静か。"
armorWafuuShinobiGloves,items,Item,,,Shinobi Tekko (Hand Guards),忍手甲
armorWafuuShinobiGloves_desc,items,Item,,,"Thin padded gloves for silent movement.","音を立てない薄い手袋。"
armorWafuuShinobiLegs,items,Item,,,Shinobi Kyahan (Leg Wraps),忍脚絆
armorWafuuShinobiLegs_desc,items,Item,,,"Wrapped leg coverings for swift and silent movement.","素早く静かに動くための巻き脚絆。"
armorWafuuTaishoHelmet,items,Item,,,Taisho Kabuto (Grand Helmet),大将兜
armorWafuuTaishoHelmet_desc,items,Item,,,"A magnificent crested helmet fit for a general. Maximum protection.","大将にふさわしい壮麗な前立て付き兜。最大の防護力。"
armorWafuuTaishoChest,items,Item,,,Taisho Do (Grand Armor),大将胴
armorWafuuTaishoChest_desc,items,Item,,,"The finest chest armor, forged from steel. Inspires nearby allies.","鋼から鍛えた最高級の胴鎧。味方を鼓舞する。"
armorWafuuTaishoGloves,items,Item,,,Taisho Kote (Grand Gauntlets),大将篭手
armorWafuuTaishoGloves_desc,items,Item,,,"Heavy steel gauntlets. Unyielding protection.","重厚な鋼の篭手。揺るぎない防護。"
